token_id,count,tokens,prob
0,42941,<unk>,9.31987508560826e-09
1,832836,<s>,1.8075795828689693e-07
2,145186,</s>,3.151103570431804e-08
3,295817,<0x00>,6.420384919306441e-08
4,1927651,<0x01>,4.1837559741617215e-07
5,2874417,<0x02>,6.238608179583345e-07
6,3597818,<0x03>,7.808671046494711e-07
7,1074579,<0x04>,2.3322563632933184e-07
8,1671894,<0x05>,3.628663337225015e-07
9,2679845,<0x06>,5.816310903051132e-07
10,2384611,<0x07>,5.17553774895028e-07
11,6326642,<0x08>,1.3731285519983888e-06
12,2523557755,<0x09>,0.0005477106506117234
13,175556865066,<0x0A>,0.038102700282622776
14,47516,<0x0B>,1.03128288714227e-08
15,1666784,<0x0C>,3.617572640294935e-07
16,0,<0x0D>,0.0
17,394967,<0x0E>,8.572327386268223e-08
18,2120672,<0x0F>,4.602686974580713e-07
19,519794,<0x10>,1.128156109603563e-07
20,410659,<0x11>,8.912905108825605e-08
21,459708,<0x12>,9.977460086758116e-08
22,496757,<0x13>,1.0781568170050773e-07
23,1160085,<0x14>,2.5178377980689454e-07
24,339035,<0x15>,7.35838441035187e-08
25,357231,<0x16>,7.753308718257433e-08
26,308999,<0x17>,6.706485833068318e-08
27,483598,<0x18>,1.0495966446170288e-07
28,909079,<0x19>,1.9730566877691884e-07
29,643175,<0x1A>,1.3959410954998934e-07
30,2118754,<0x1B>,4.598524165048053e-07
31,663786,<0x1C>,1.4406750200450768e-07
32,637286,<0x1D>,1.3831596641454427e-07
33,2361962,<0x1E>,5.126380567977797e-07
34,2891459,<0x1F>,6.275595979403781e-07
35,0,<0x20>,0.0
36,0,<0x21>,0.0
37,0,<0x22>,0.0
38,0,<0x23>,0.0
39,0,<0x24>,0.0
40,0,<0x25>,0.0
41,0,<0x26>,0.0
42,0,<0x27>,0.0
43,0,<0x28>,0.0
44,0,<0x29>,0.0
45,0,<0x2A>,0.0
46,0,<0x2B>,0.0
47,0,<0x2C>,0.0
48,0,<0x2D>,0.0
49,0,<0x2E>,0.0
50,0,<0x2F>,0.0
51,0,<0x30>,0.0
52,0,<0x31>,0.0
53,0,<0x32>,0.0
54,0,<0x33>,0.0
55,0,<0x34>,0.0
56,0,<0x35>,0.0
57,0,<0x36>,0.0
58,0,<0x37>,0.0
59,0,<0x38>,0.0
60,0,<0x39>,0.0
61,0,<0x3A>,0.0
62,0,<0x3B>,0.0
63,0,<0x3C>,0.0
64,0,<0x3D>,0.0
65,0,<0x3E>,0.0
66,0,<0x3F>,0.0
67,0,<0x40>,0.0
68,0,<0x41>,0.0
69,0,<0x42>,0.0
70,0,<0x43>,0.0
71,0,<0x44>,0.0
72,0,<0x45>,0.0
73,0,<0x46>,0.0
74,0,<0x47>,0.0
75,0,<0x48>,0.0
76,0,<0x49>,0.0
77,0,<0x4A>,0.0
78,0,<0x4B>,0.0
79,0,<0x4C>,0.0
80,0,<0x4D>,0.0
81,0,<0x4E>,0.0
82,0,<0x4F>,0.0
83,0,<0x50>,0.0
84,0,<0x51>,0.0
85,0,<0x52>,0.0
86,0,<0x53>,0.0
87,0,<0x54>,0.0
88,0,<0x55>,0.0
89,0,<0x56>,0.0
90,0,<0x57>,0.0
91,0,<0x58>,0.0
92,0,<0x59>,0.0
93,0,<0x5A>,0.0
94,0,<0x5B>,0.0
95,0,<0x5C>,0.0
96,0,<0x5D>,0.0
97,0,<0x5E>,0.0
98,0,<0x5F>,0.0
99,0,<0x60>,0.0
100,0,<0x61>,0.0
101,0,<0x62>,0.0
102,0,<0x63>,0.0
103,0,<0x64>,0.0
104,0,<0x65>,0.0
105,0,<0x66>,0.0
106,0,<0x67>,0.0
107,0,<0x68>,0.0
108,0,<0x69>,0.0
109,0,<0x6A>,0.0
110,0,<0x6B>,0.0
111,0,<0x6C>,0.0
112,0,<0x6D>,0.0
113,0,<0x6E>,0.0
114,0,<0x6F>,0.0
115,0,<0x70>,0.0
116,0,<0x71>,0.0
117,0,<0x72>,0.0
118,0,<0x73>,0.0
119,0,<0x74>,0.0
120,0,<0x75>,0.0
121,0,<0x76>,0.0
122,0,<0x77>,0.0
123,0,<0x78>,0.0
124,0,<0x79>,0.0
125,0,<0x7A>,0.0
126,0,<0x7B>,0.0
127,0,<0x7C>,0.0
128,0,<0x7D>,0.0
129,0,<0x7E>,0.0
130,1706389,<0x7F>,3.703530967480029e-07
131,84782870,<0x80>,1.8401196008461935e-05
132,59526151,<0x81>,1.2919500981510799e-05
133,79237714,<0x82>,1.719768045805065e-05
134,45617629,<0x83>,9.90080817823574e-06
135,41240824,<0x84>,8.950870452657255e-06
136,62857160,<0x85>,1.3642460106566968e-05
137,36603013,<0x86>,7.94428422526013e-06
138,42671176,<0x87>,9.261312733192175e-06
139,65403370,<0x88>,1.419508717956775e-05
140,50313496,<0x89>,1.0919994826395539e-05
141,45294202,<0x8A>,9.83061188007517e-06
142,47465298,<0x8B>,1.0301824556046007e-05
143,37805530,<0x8C>,8.20527740726149e-06
144,43570576,<0x8D>,9.456517680724743e-06
145,33395717,<0x8E>,7.24817565576778e-06
146,36029567,<0x8F>,7.819824033640427e-06
147,45450712,<0x90>,9.864580666308572e-06
148,40274403,<0x91>,8.74111932901997e-06
149,28343174,<0x92>,6.151576377114176e-06
150,24864283,<0x93>,5.396521078997066e-06
151,36529289,<0x94>,7.928283236209774e-06
152,59311497,<0x95>,1.287291267507578e-05
153,33220967,<0x96>,7.210248076735852e-06
154,34271126,<0x97>,7.4381736187592626e-06
155,69043208,<0x98>,1.4985074266311193e-05
156,60914658,<0x99>,1.3220861261790548e-05
157,26896813,<0x9A>,5.837659517965682e-06
158,31623959,<0x9B>,6.8636349314733495e-06
159,45368457,<0x9C>,9.846728116876405e-06
160,58259946,<0x9D>,1.2644685014654587e-05
161,39410564,<0x9E>,8.553632508170974e-06
162,129230604,<0x9F>,2.80480912535271e-05
163,34863669,<0xA0>,7.566778605668081e-06
164,34097572,<0xA1>,7.4005056184656584e-06
165,23920481,<0xA2>,5.191679162284664e-06
166,28197967,<0xA3>,6.120060783589202e-06
167,58321696,<0xA4>,1.2658087177774597e-05
168,42556616,<0xA5>,9.236448736317223e-06
169,41941919,<0xA6>,9.103035465655195e-06
170,38276289,<0xA7>,8.307450506989625e-06
171,51424805,<0xA8>,1.116119230809164e-05
172,33901250,<0xA9>,7.357896072424421e-06
173,52010932,<0xAA>,1.1288404772270451e-05
174,32608206,<0xAB>,7.077254993730509e-06
175,37101923,<0xAC>,8.052567192097438e-06
176,39537974,<0xAD>,8.581285457209362e-06
177,43469889,<0xAE>,9.434664666990908e-06
178,40542672,<0xAF>,8.79934418566842e-06
179,74096167,<0xB0>,1.6081763833221605e-05
180,28258500,<0xB1>,6.13319881015023e-06
181,52304809,<0xB2>,1.1352187565650514e-05
182,28844954,<0xB3>,6.2604822461078305e-06
183,37644178,<0xB4>,8.170257717808216e-06
184,32840469,<0xB5>,7.127665141305289e-06
185,25708231,<0xB6>,5.579690775528328e-06
186,36143122,<0xB7>,7.844469906241117e-06
187,40149644,<0xB8>,8.71404175057966e-06
188,35015939,<0xB9>,7.599827146207089e-06
189,44748714,<0xBA>,9.712219667022415e-06
190,47008000,<0xBB>,1.0202573019358495e-05
191,48167401,<0xBC>,1.0454208344435444e-05
192,42824532,<0xBD>,9.294596978170832e-06
193,40764530,<0xBE>,8.847496041627594e-06
194,33920030,<0xBF>,7.361972066325534e-06
195,0,<0xC0>,0.0
196,0,<0xC1>,0.0
197,17280147,<0xC2>,3.7504671875584717e-06
198,0,<0xC3>,0.0
199,1961004,<0xC4>,4.25614501813608e-07
200,1904834,<0xC5>,4.1342341675367426e-07
201,2805214,<0xC6>,6.08841062583533e-07
202,2058406,<0xC7>,4.467545421733671e-07
203,1574954,<0xC8>,3.418265654171787e-07
204,3900903,<0xC9>,8.466483938677376e-07
205,3561183,<0xCA>,7.729158779951954e-07
206,3183226,<0xCB>,6.90884438864033e-07
207,13372690,<0xCC>,2.9023963195678427e-06
208,7604411,<0xCD>,1.6504543587626138e-06
209,1291731,<0xCE>,2.803561063833596e-07
210,6932428,<0xCF>,1.504607787428637e-06
211,592348,<0xD0>,1.2856266428843953e-07
212,22619952,<0xD1>,4.909413546085437e-06
213,5684278,<0xD2>,1.2337104611413604e-06
214,738030,<0xD3>,1.6018135137587537e-07
215,2526904,<0xD4>,5.484369165441852e-07
216,1979265,<0xD5>,4.2957785243278995e-07
217,8508731,<0xD6>,1.8467271385632066e-06
218,1668762,<0xD7>,3.621865673274915e-07
219,2334238,<0xD8>,5.066208653752836e-07
220,7482980,<0xD9>,1.6240990863767705e-06
221,2582016,<0xDA>,5.603983742586781e-07
222,5380891,<0xDB>,1.1678636261212761e-06
223,3130120,<0xDC>,6.793583615417463e-07
224,250602,<0xDD>,5.439042724211363e-08
225,1681467,<0xDE>,3.649440488244909e-07
226,1353055,<0xDF>,2.936658108557715e-07
227,196400090,<0xE0>,4.2626494622906314e-05
228,120341602,<0xE1>,2.6118830447404233e-05
229,113519465,<0xE2>,2.4638160117022868e-05
230,11818537,<0xE3>,2.565084384030167e-06
231,35470247,<0xE4>,7.698429736048792e-06
232,146416188,<0xE5>,3.1778034574670715e-05
233,113031136,<0xE6>,2.4532173640679046e-05
234,90550286,<0xE7>,1.9652950664542104e-05
235,102700140,<0xE8>,2.2289943785065097e-05
